structure abbreviation,ARA ontology order,structure ID,full structure name,Major Brain Division,Mouse line,Image id,Dataset type,Transgenic Signal in CCF structure,Connectivity Source Injection Site,ABA gene name,Link to image viewer or download location for individual high resolution images (n.b. only jp2 files are at BIL),Link to 25 um Tg line grid data (.nrrd files),Link to cortical surface views (.nrrd files)
VAL,735,629,Ventral anterior-lateral complex of the thalamus,Thalamus,Foxp2-IRES-Cre;Ai14,570994466,Tg lines,xx,n/a,n/a,http://connectivity.brain-map.org/static/referencedata/experiment/thumbnails/570994466?TRANSGENE=true&image_type=TWO_PHOTON,http://download.alleninstitute.org/publications/allen_mouse_brain_common_coordinate_framework/transgenic_lines_25_um_grid/,
VAL,735,629,Ventral anterior-lateral complex of the thalamus,Thalamus,C57Bl/6J,n/a,average template,n/a,n/a,n/a,http://atlas.brain-map.org/atlas?atlas=602630314#atlas=602630314&structure=629,,
VAL,735,629,Ventral anterior-lateral complex of the thalamus,Thalamus,C57Bl/6J,100141780,Connectivity (Source -> Target),n/a,MOp,n/a,http://connectivity.brain-map.org/projection/experiment/100141780,,
VAL,735,629,Ventral anterior-lateral complex of the thalamus,Thalamus,C57Bl/6J,180719293,Connectivity (Source -> Target),n/a,MOs,n/a,http://connectivity.brain-map.org/projection/experiment/180719293,,
VAL,735,629,Ventral anterior-lateral complex of the thalamus,Thalamus,C57Bl/6J,268389532,Connectivity (Source -> Target),n/a,IP,n/a,http://connectivity.brain-map.org/projection/experiment/268389532,,
VAL,735,629,Ventral anterior-lateral complex of the thalamus,Thalamus,C57BL/6J,70231306,ISH (ABA),n/a,n/a,Cbln2,http://mouse.brain-map.org/experiment/show/70231306,,
VAL,735,629,Ventral anterior-lateral complex of the thalamus,Thalamus,C57BL/6J,70301274,ISH (ABA),n/a,n/a,Prkcd,http://mouse.brain-map.org/experiment/show/70301274,,
VAL,735,629,Ventral anterior-lateral complex of the thalamus,Thalamus,C57BL/6J,71924185,ISH (ABA),n/a,n/a,Ntng1,http://mouse.brain-map.org/experiment/show/71924185,,
VAL,735,629,Ventral anterior-lateral complex of the thalamus,Thalamus,C57BL/6J,74511860,ISH (ABA),n/a,n/a,Ptpn3,http://mouse.brain-map.org/experiment/show/74511860,,
VAL,735,629,Ventral anterior-lateral complex of the thalamus,Thalamus,C57BL/6J,74511884,ISH (ABA),n/a,n/a,Rgs4,http://mouse.brain-map.org/experiment/show/74511884,,
VAL,735,629,Ventral anterior-lateral complex of the thalamus,Thalamus,C57BL/6J,74512048,ISH (ABA),n/a,n/a,Nefh,http://mouse.brain-map.org/experiment/show/74512048,,
VAL,735,629,Ventral anterior-lateral complex of the thalamus,Thalamus,Syt6-Cre_KI148,177459319,Connectivity (Source -> Target),n/a,MOs,n/a,http://connectivity.brain-map.org/projection/experiment/177459319,,
VM,740,685,Ventral medial nucleus of the thalamus,Thalamus,Sst-IRES-Cre;Ai14,476449640,Tg lines,x,n/a,n/a,http://connectivity.brain-map.org/static/referencedata/experiment/thumbnails/476449640?TRANSGENE=true&image_type=TWO_PHOTON,http://download.alleninstitute.org/publications/allen_mouse_brain_common_coordinate_framework/transgenic_lines_25_um_grid/,
VM,740,685,Ventral medial nucleus of the thalamus,Thalamus,Syt6-Cre_KI148;Ai14,485025561,Tg lines,xx,n/a,n/a,http://connectivity.brain-map.org/static/referencedata/experiment/thumbnails/485025561?TRANSGENE=true&image_type=TWO_PHOTON,http://download.alleninstitute.org/publications/allen_mouse_brain_common_coordinate_framework/transgenic_lines_25_um_grid/,
VM,740,685,Ventral medial nucleus of the thalamus,Thalamus,Fezf2-CreER;Ai14,539655376,Tg lines,x,n/a,n/a,http://connectivity.brain-map.org/static/referencedata/experiment/thumbnails/539655376?TRANSGENE=true&image_type=TWO_PHOTON,http://download.alleninstitute.org/publications/allen_mouse_brain_common_coordinate_framework/transgenic_lines_25_um_grid/,
VM,740,685,Ventral medial nucleus of the thalamus,Thalamus,Kcng4-Cre;Ai14,539737059,Tg lines,xx,n/a,n/a,http://connectivity.brain-map.org/static/referencedata/experiment/thumbnails/539737059?TRANSGENE=true&image_type=TWO_PHOTON,http://download.alleninstitute.org/publications/allen_mouse_brain_common_coordinate_framework/transgenic_lines_25_um_grid/,
VM,740,685,Ventral medial nucleus of the thalamus,Thalamus,Htr1a-IRES2-Cre;Ai14,545796708,Tg lines,x,n/a,n/a,http://connectivity.brain-map.org/static/referencedata/experiment/thumbnails/545796708?TRANSGENE=true&image_type=TWO_PHOTON,http://download.alleninstitute.org/publications/allen_mouse_brain_common_coordinate_framework/transgenic_lines_25_um_grid/,
VM,740,685,Ventral medial nucleus of the thalamus,Thalamus,Etv1-CreERT2;Ai140,549369763,Tg lines,x,n/a,n/a,http://connectivity.brain-map.org/static/referencedata/experiment/thumbnails/549369763?TRANSGENE=true&image_type=TWO_PHOTON,http://download.alleninstitute.org/publications/allen_mouse_brain_common_coordinate_framework/transgenic_lines_25_um_grid/,
VM,740,685,Ventral medial nucleus of the thalamus,Thalamus,Grik4-Cre;Ai14,560963432,Tg lines,xx,n/a,n/a,http://connectivity.brain-map.org/static/referencedata/experiment/thumbnails/560963432?TRANSGENE=true&image_type=TWO_PHOTON,http://download.alleninstitute.org/publications/allen_mouse_brain_common_coordinate_framework/transgenic_lines_25_um_grid/,
VM,740,685,Ventral medial nucleus of the thalamus,Thalamus,C57Bl/6J,n/a,average template,n/a,n/a,n/a,http://atlas.brain-map.org/atlas?atlas=602630314#atlas=602630314&structure=685,,
VM,740,685,Ventral medial nucleus of the thalamus,Thalamus,C57Bl/6J,100141993,Connectivity (Source -> Target),n/a,SNr,n/a,http://connectivity.brain-map.org/projection/experiment/100141993,,
VM,740,685,Ventral medial nucleus of the thalamus,Thalamus,C57Bl/6J,180719293,Connectivity (Source -> Target),n/a,MOs,n/a,http://connectivity.brain-map.org/projection/experiment/180719293,,
VM,740,685,Ventral medial nucleus of the thalamus,Thalamus,C57BL/6J,70231306,ISH (ABA),n/a,n/a,Cbln2,http://mouse.brain-map.org/experiment/show/70231306,,
VM,740,685,Ventral medial nucleus of the thalamus,Thalamus,C57BL/6J,70301274,ISH (ABA),n/a,n/a,Prkcd,http://mouse.brain-map.org/experiment/show/70301274,,
VM,740,685,Ventral medial nucleus of the thalamus,Thalamus,C57BL/6J,70744323,ISH (ABA),n/a,n/a,Stxbp6,http://mouse.brain-map.org/experiment/show/70744323,,
VM,740,685,Ventral medial nucleus of the thalamus,Thalamus,C57BL/6J,74512048,ISH (ABA),n/a,n/a,Nefh,http://mouse.brain-map.org/experiment/show/74512048,,
VM,740,685,Ventral medial nucleus of the thalamus,Thalamus,Pvalb-IRES-Cre,127085005,Connectivity (Source -> Target),n/a,RT,n/a,http://connectivity.brain-map.org/projection/experiment/127085005,,
VM,740,685,Ventral medial nucleus of the thalamus,Thalamus,Pvalb-IRES-Cre,299895444,Connectivity (Source -> Target),n/a,SNr,n/a,http://connectivity.brain-map.org/projection/experiment/299895444,,
VM,740,685,Ventral medial nucleus of the thalamus,Thalamus,Syt6-Cre_KI148,177459319,Connectivity (Source -> Target),n/a,MOs,n/a,http://connectivity.brain-map.org/projection/experiment/177459319,,
VPL,742,718,Ventral posterolateral nucleus of the thalamus,Thalamus,Ntsr1-Cre_GN220;Ai14,472986374,Tg lines,xxx,n/a,n/a,http://connectivity.brain-map.org/static/referencedata/experiment/thumbnails/472986374?TRANSGENE=true&image_type=TWO_PHOTON,http://download.alleninstitute.org/publications/allen_mouse_brain_common_coordinate_framework/transgenic_lines_25_um_grid/,
VPL,742,718,Ventral posterolateral nucleus of the thalamus,Thalamus,Chrna2-Cre_OE25;Ai14,475355989,Tg lines,x,n/a,n/a,http://connectivity.brain-map.org/static/referencedata/experiment/thumbnails/475355989?TRANSGENE=true&image_type=TWO_PHOTON,http://download.alleninstitute.org/publications/allen_mouse_brain_common_coordinate_framework/transgenic_lines_25_um_grid/,
VPL,742,718,Ventral posterolateral nucleus of the thalamus,Thalamus,Chat-IRES-Cre-neo;Ai14,476124774,Tg lines,xxx,n/a,n/a,http://connectivity.brain-map.org/static/referencedata/experiment/thumbnails/476124774?TRANSGENE=true&image_type=TWO_PHOTON,http://download.alleninstitute.org/publications/allen_mouse_brain_common_coordinate_framework/transgenic_lines_25_um_grid/,
VPL,742,718,Ventral posterolateral nucleus of the thalamus,Thalamus,Pvalb-IRES-Cre;Ai14,476447880,Tg lines,xx,n/a,n/a,http://connectivity.brain-map.org/static/referencedata/experiment/thumbnails/476447880?TRANSGENE=true&image_type=TWO_PHOTON,http://download.alleninstitute.org/publications/allen_mouse_brain_common_coordinate_framework/transgenic_lines_25_um_grid/,
VPL,742,718,Ventral posterolateral nucleus of the thalamus,Thalamus,Sst-IRES-Cre;Ai14,476449640,Tg lines,x,n/a,n/a,http://connectivity.brain-map.org/static/referencedata/experiment/thumbnails/476449640?TRANSGENE=true&image_type=TWO_PHOTON,http://download.alleninstitute.org/publications/allen_mouse_brain_common_coordinate_framework/transgenic_lines_25_um_grid/,
VPL,742,718,Ventral posterolateral nucleus of the thalamus,Thalamus,Gal-Cre_KI87;Ai14,484773406,Tg lines,xx,n/a,n/a,http://connectivity.brain-map.org/static/referencedata/experiment/thumbnails/484773406?TRANSGENE=true&image_type=TWO_PHOTON,http://download.alleninstitute.org/publications/allen_mouse_brain_common_coordinate_framework/transgenic_lines_25_um_grid/,
VPL,742,718,Ventral posterolateral nucleus of the thalamus,Thalamus,Grp-Cre_KH288;Ai14,485023521,Tg lines,xx,n/a,n/a,http://connectivity.brain-map.org/static/referencedata/experiment/thumbnails/485023521?TRANSGENE=true&image_type=TWO_PHOTON,http://download.alleninstitute.org/publications/allen_mouse_brain_common_coordinate_framework/transgenic_lines_25_um_grid/,
VPL,742,718,Ventral posterolateral nucleus of the thalamus,Thalamus,Syt6-Cre_KI148;Ai14,485025561,Tg lines,xxx,n/a,n/a,http://connectivity.brain-map.org/static/referencedata/experiment/thumbnails/485025561?TRANSGENE=true&image_type=TWO_PHOTON,http://download.alleninstitute.org/publications/allen_mouse_brain_common_coordinate_framework/transgenic_lines_25_um_grid/,
VPL,742,718,Ventral posterolateral nucleus of the thalamus,Thalamus,Prkcd-GluCla-CFP-IRES-Cre;Ai14,485280693,Tg lines,x,n/a,n/a,http://connectivity.brain-map.org/static/referencedata/experiment/thumbnails/485280693?TRANSGENE=true&image_type=TWO_PHOTON,http://download.alleninstitute.org/publications/allen_mouse_brain_common_coordinate_framework/transgenic_lines_25_um_grid/,
VPL,742,718,Ventral posterolateral nucleus of the thalamus,Thalamus,Dlg3-Cre_KG118;Ai14,492048325,Tg lines,xx,n/a,n/a,http://connectivity.brain-map.org/static/referencedata/experiment/thumbnails/492048325?TRANSGENE=true&image_type=TWO_PHOTON,http://download.alleninstitute.org/publications/allen_mouse_brain_common_coordinate_framework/transgenic_lines_25_um_grid/,
VPL,742,718,Ventral posterolateral nucleus of the thalamus,Thalamus,Rorb-IRES2-Cre;Ai14,541225900,Tg lines,xxx,n/a,n/a,http://connectivity.brain-map.org/static/referencedata/experiment/thumbnails/541225900?TRANSGENE=true&image_type=TWO_PHOTON,http://download.alleninstitute.org/publications/allen_mouse_brain_common_coordinate_framework/transgenic_lines_25_um_grid/,
VPL,742,718,Ventral posterolateral nucleus of the thalamus,Thalamus,Foxp2-IRES-Cre;Ai14,570994466,Tg lines,xx,n/a,n/a,http://connectivity.brain-map.org/static/referencedata/experiment/thumbnails/570994466?TRANSGENE=true&image_type=TWO_PHOTON,http://download.alleninstitute.org/publications/allen_mouse_brain_common_coordinate_framework/transgenic_lines_25_um_grid/,
VPL,742,718,Ventral posterolateral nucleus of the thalamus,Thalamus,C57Bl/6J,n/a,average template,n/a,n/a,n/a,http://atlas.brain-map.org/atlas?atlas=602630314#atlas=602630314&structure=718,,
VPL,742,718,Ventral posterolateral nucleus of the thalamus,Thalamus,C57Bl/6J,112791318,Connectivity (Source -> Target),n/a,SSp-ll,n/a,http://connectivity.brain-map.org/projection/experiment/112791318,,
VPL,742,718,Ventral posterolateral nucleus of the thalamus,Thalamus,C57Bl/6J,180718587,Connectivity (Source -> Target),n/a,SSp-ul,n/a,http://connectivity.brain-map.org/projection/experiment/180718587,,
VPL,742,718,Ventral posterolateral nucleus of the thalamus,Thalamus,C57Bl/6J,180720175,Connectivity (Source -> Target),n/a,MOp,n/a,http://connectivity.brain-map.org/projection/experiment/180720175,,
VPL,742,718,Ventral posterolateral nucleus of the thalamus,Thalamus,C57BL/6J,70301274,ISH (ABA),n/a,n/a,Prkcd,http://mouse.brain-map.org/experiment/show/70301274,,
VPL,742,718,Ventral posterolateral nucleus of the thalamus,Thalamus,C57BL/6J,73818754,ISH (ABA),n/a,n/a,Slc17a6,http://mouse.brain-map.org/experiment/show/73818754,,
VPL,742,718,Ventral posterolateral nucleus of the thalamus,Thalamus,C57BL/6J,74511884,ISH (ABA),n/a,n/a,Rgs4,http://mouse.brain-map.org/experiment/show/74511884,,
VPL,742,718,Ventral posterolateral nucleus of the thalamus,Thalamus,C57BL/6J,74512048,ISH (ABA),n/a,n/a,Nefh,http://mouse.brain-map.org/experiment/show/74512048,,
VPL,742,718,Ventral posterolateral nucleus of the thalamus,Thalamus,C57BL/6J,77280576,ISH (ABA),n/a,n/a,Tnnt1,http://mouse.brain-map.org/experiment/show/77280576,,
VPLpc,743,725,"Ventral posterolateral nucleus of the thalamus, parvicellular part",Thalamus,Ntsr1-Cre_GN220;Ai14,472986374,Tg lines,xxx,n/a,n/a,http://connectivity.brain-map.org/static/referencedata/experiment/thumbnails/472986374?TRANSGENE=true&image_type=TWO_PHOTON,http://download.alleninstitute.org/publications/allen_mouse_brain_common_coordinate_framework/transgenic_lines_25_um_grid/,
VPLpc,743,725,"Ventral posterolateral nucleus of the thalamus, parvicellular part",Thalamus,Crh-IRES-Cre_BL;Ai14,484724075,Tg lines,x,n/a,n/a,http://connectivity.brain-map.org/static/referencedata/experiment/thumbnails/484724075?TRANSGENE=true&image_type=TWO_PHOTON,http://download.alleninstitute.org/publications/allen_mouse_brain_common_coordinate_framework/transgenic_lines_25_um_grid/,
VPLpc,743,725,"Ventral posterolateral nucleus of the thalamus, parvicellular part",Thalamus,Prkcd-GluCla-CFP-IRES-Cre;Ai14,485280693,Tg lines,xx,n/a,n/a,http://connectivity.brain-map.org/static/referencedata/experiment/thumbnails/485280693?TRANSGENE=true&image_type=TWO_PHOTON,http://download.alleninstitute.org/publications/allen_mouse_brain_common_coordinate_framework/transgenic_lines_25_um_grid/,
VPLpc,743,725,"Ventral posterolateral nucleus of the thalamus, parvicellular part",Thalamus,Dlg3-Cre_KG118;Ai14,492048325,Tg lines,xx,n/a,n/a,http://connectivity.brain-map.org/static/referencedata/experiment/thumbnails/492048325?TRANSGENE=true&image_type=TWO_PHOTON,http://download.alleninstitute.org/publications/allen_mouse_brain_common_coordinate_framework/transgenic_lines_25_um_grid/,
VPLpc,743,725,"Ventral posterolateral nucleus of the thalamus, parvicellular part",Thalamus,Fezf2-CreER;Ai14,539655376,Tg lines,xx,n/a,n/a,http://connectivity.brain-map.org/static/referencedata/experiment/thumbnails/539655376?TRANSGENE=true&image_type=TWO_PHOTON,http://download.alleninstitute.org/publications/allen_mouse_brain_common_coordinate_framework/transgenic_lines_25_um_grid/,
VPLpc,743,725,"Ventral posterolateral nucleus of the thalamus, parvicellular part",Thalamus,Rorb-IRES2-Cre;Ai14,541225900,Tg lines,xx,n/a,n/a,http://connectivity.brain-map.org/static/referencedata/experiment/thumbnails/541225900?TRANSGENE=true&image_type=TWO_PHOTON,http://download.alleninstitute.org/publications/allen_mouse_brain_common_coordinate_framework/transgenic_lines_25_um_grid/,
VPLpc,743,725,"Ventral posterolateral nucleus of the thalamus, parvicellular part",Thalamus,Htr1a-IRES2-Cre;Ai14,545796708,Tg lines,xx,n/a,n/a,http://connectivity.brain-map.org/static/referencedata/experiment/thumbnails/545796708?TRANSGENE=true&image_type=TWO_PHOTON,http://download.alleninstitute.org/publications/allen_mouse_brain_common_coordinate_framework/transgenic_lines_25_um_grid/,
VPLpc,743,725,"Ventral posterolateral nucleus of the thalamus, parvicellular part",Thalamus,Foxp2-IRES-Cre;Ai14,570994466,Tg lines,xx,n/a,n/a,http://connectivity.brain-map.org/static/referencedata/experiment/thumbnails/570994466?TRANSGENE=true&image_type=TWO_PHOTON,http://download.alleninstitute.org/publications/allen_mouse_brain_common_coordinate_framework/transgenic_lines_25_um_grid/,
VPLpc,743,725,"Ventral posterolateral nucleus of the thalamus, parvicellular part",Thalamus,C57Bl/6J,112935169,Connectivity (Source -> Target),n/a,SSp-ll,n/a,http://connectivity.brain-map.org/projection/experiment/112935169,,
VPLpc,743,725,"Ventral posterolateral nucleus of the thalamus, parvicellular part",Thalamus,C57Bl/6J,180074890,Connectivity (Source -> Target),n/a,VISC,n/a,http://connectivity.brain-map.org/projection/experiment/180074890,,
VPLpc,743,725,"Ventral posterolateral nucleus of the thalamus, parvicellular part",Thalamus,C57Bl/6J,180436360,Connectivity (Source -> Target),n/a,VISC,n/a,http://connectivity.brain-map.org/projection/experiment/180436360,,
VPLpc,743,725,"Ventral posterolateral nucleus of the thalamus, parvicellular part",Thalamus,C57Bl/6J,180718587,Connectivity (Source -> Target),n/a,SSp-ul,n/a,http://connectivity.brain-map.org/projection/experiment/180718587,,
VPLpc,743,725,"Ventral posterolateral nucleus of the thalamus, parvicellular part",Thalamus,C57Bl/6J,180720175,Connectivity (Source -> Target),n/a,MOp,n/a,http://connectivity.brain-map.org/projection/experiment/180720175,,
VPLpc,743,725,"Ventral posterolateral nucleus of the thalamus, parvicellular part",Thalamus,C57Bl/6J,180917660,Connectivity (Source -> Target),n/a,VISC,n/a,http://connectivity.brain-map.org/projection/experiment/180917660,,
VPLpc,743,725,"Ventral posterolateral nucleus of the thalamus, parvicellular part",Thalamus,C57BL/6J,71670687,ISH (ABA),n/a,n/a,Plekhg1,http://mouse.brain-map.org/experiment/show/71670687,,
VPLpc,743,725,"Ventral posterolateral nucleus of the thalamus, parvicellular part",Thalamus,C57BL/6J,74511860,ISH (ABA),n/a,n/a,Ptpn3,http://mouse.brain-map.org/experiment/show/74511860,,
VPLpc,743,725,"Ventral posterolateral nucleus of the thalamus, parvicellular part",Thalamus,Rbp4-Cre_KL100,249402048,Connectivity (Source -> Target),n/a,GU,n/a,http://connectivity.brain-map.org/projection/experiment/249402048,,
VPM,744,733,Ventral posteromedial nucleus of the thalamus,Thalamus,Rorb-IRES2-Cre;Ai110 ,397902626,Tg lines,xx,n/a,n/a,ftp://download.brainimagelibrary.org:8811/c8/6a/c86a770b7cbdc1b4/0500313299/,http://download.alleninstitute.org/publications/allen_mouse_brain_common_coordinate_framework/transgenic_lines_25_um_grid/,
VPM,744,733,Ventral posteromedial nucleus of the thalamus,Thalamus,Slc17a8-iCre;Ai14,540144158,Tg lines,xx,n/a,n/a,ftp://download.brainimagelibrary.org:8811/c8/6a/c86a770b7cbdc1b4/0500351543/,http://download.alleninstitute.org/publications/allen_mouse_brain_common_coordinate_framework/transgenic_lines_25_um_grid/,
VPM,744,733,Ventral posteromedial nucleus of the thalamus,Thalamus,Ntsr1-Cre_GN220;Ai14,472986374,Tg lines,xxx,n/a,n/a,http://connectivity.brain-map.org/static/referencedata/experiment/thumbnails/472986374?TRANSGENE=true&image_type=TWO_PHOTON,http://download.alleninstitute.org/publications/allen_mouse_brain_common_coordinate_framework/transgenic_lines_25_um_grid/,
VPM,744,733,Ventral posteromedial nucleus of the thalamus,Thalamus,Chrna2-Cre_OE25;Ai14,475355989,Tg lines,x,n/a,n/a,http://connectivity.brain-map.org/static/referencedata/experiment/thumbnails/475355989?TRANSGENE=true&image_type=TWO_PHOTON,http://download.alleninstitute.org/publications/allen_mouse_brain_common_coordinate_framework/transgenic_lines_25_um_grid/,
VPM,744,733,Ventral posteromedial nucleus of the thalamus,Thalamus,Cux2-CreERT2;Ai14,475359813,Tg lines,x,n/a,n/a,http://connectivity.brain-map.org/static/referencedata/experiment/thumbnails/475359813?TRANSGENE=true&image_type=TWO_PHOTON,http://download.alleninstitute.org/publications/allen_mouse_brain_common_coordinate_framework/transgenic_lines_25_um_grid/,
VPM,744,733,Ventral posteromedial nucleus of the thalamus,Thalamus,Scnn1a-Tg3-Cre;Ai14,475384080,Tg lines,xx,n/a,n/a,http://connectivity.brain-map.org/static/referencedata/experiment/thumbnails/475384080?TRANSGENE=true&image_type=TWO_PHOTON,http://download.alleninstitute.org/publications/allen_mouse_brain_common_coordinate_framework/transgenic_lines_25_um_grid/,
VPM,744,733,Ventral posteromedial nucleus of the thalamus,Thalamus,Nos1-CreERT2;Ai14,475508323,Tg lines,xx,n/a,n/a,http://connectivity.brain-map.org/static/referencedata/experiment/thumbnails/475508323?TRANSGENE=true&image_type=TWO_PHOTON,http://download.alleninstitute.org/publications/allen_mouse_brain_common_coordinate_framework/transgenic_lines_25_um_grid/,
VPM,744,733,Ventral posteromedial nucleus of the thalamus,Thalamus,Pvalb-IRES-Cre;Ai14,476447880,Tg lines,xxx,n/a,n/a,http://connectivity.brain-map.org/static/referencedata/experiment/thumbnails/476447880?TRANSGENE=true&image_type=TWO_PHOTON,http://download.alleninstitute.org/publications/allen_mouse_brain_common_coordinate_framework/transgenic_lines_25_um_grid/,
VPM,744,733,Ventral posteromedial nucleus of the thalamus,Thalamus,Gal-Cre_KI87;Ai14,484773406,Tg lines,xx,n/a,n/a,http://connectivity.brain-map.org/static/referencedata/experiment/thumbnails/484773406?TRANSGENE=true&image_type=TWO_PHOTON,http://download.alleninstitute.org/publications/allen_mouse_brain_common_coordinate_framework/transgenic_lines_25_um_grid/,
VPM,744,733,Ventral posteromedial nucleus of the thalamus,Thalamus,Grp-Cre_KH288;Ai14,485023521,Tg lines,x,n/a,n/a,http://connectivity.brain-map.org/static/referencedata/experiment/thumbnails/485023521?TRANSGENE=true&image_type=TWO_PHOTON,http://download.alleninstitute.org/publications/allen_mouse_brain_common_coordinate_framework/transgenic_lines_25_um_grid/,
VPM,744,733,Ventral posteromedial nucleus of the thalamus,Thalamus,Prkcd-GluCla-CFP-IRES-Cre;Ai14,485280693,Tg lines,xx,n/a,n/a,http://connectivity.brain-map.org/static/referencedata/experiment/thumbnails/485280693?TRANSGENE=true&image_type=TWO_PHOTON,http://download.alleninstitute.org/publications/allen_mouse_brain_common_coordinate_framework/transgenic_lines_25_um_grid/,
VPM,744,733,Ventral posteromedial nucleus of the thalamus,Thalamus,Dlg3-Cre_KG118;Ai14,492048325,Tg lines,xx,n/a,n/a,http://connectivity.brain-map.org/static/referencedata/experiment/thumbnails/492048325?TRANSGENE=true&image_type=TWO_PHOTON,http://download.alleninstitute.org/publications/allen_mouse_brain_common_coordinate_framework/transgenic_lines_25_um_grid/,
VPM,744,733,Ventral posteromedial nucleus of the thalamus,Thalamus,Fezf2-CreER;Ai14,539655376,Tg lines,xx,n/a,n/a,http://connectivity.brain-map.org/static/referencedata/experiment/thumbnails/539655376?TRANSGENE=true&image_type=TWO_PHOTON,http://download.alleninstitute.org/publications/allen_mouse_brain_common_coordinate_framework/transgenic_lines_25_um_grid/,
VPM,744,733,Ventral posteromedial nucleus of the thalamus,Thalamus,Kcng4-Cre;Ai14,539737059,Tg lines,xx,n/a,n/a,http://connectivity.brain-map.org/static/referencedata/experiment/thumbnails/539737059?TRANSGENE=true&image_type=TWO_PHOTON,http://download.alleninstitute.org/publications/allen_mouse_brain_common_coordinate_framework/transgenic_lines_25_um_grid/,
