,cluster,nuclei,cluster_alias
39,2647 CM-IAD-CL-PCN Sema5b Glut_5,IAM CM,5103
40,2648 TH Prkcd Grin2c Glut_1,VPM VPL LGd PO LP MD,5066
41,2649 TH Prkcd Grin2c Glut_1,VPM VPL LGd,5067
42,2650 TH Prkcd Grin2c Glut_2,LGd,5076
43,2651 TH Prkcd Grin2c Glut_3,MG,5073
44,2652 TH Prkcd Grin2c Glut_3,MG,5033
45,2653 TH Prkcd Grin2c Glut_4,SMT,5074
46,2654 TH Prkcd Grin2c Glut_4,LP,5028
47,2655 TH Prkcd Grin2c Glut_5,LD,5068
48,2656 TH Prkcd Grin2c Glut_5,LD,5069
49,2657 TH Prkcd Grin2c Glut_5,LP,5070
50,2658 TH Prkcd Grin2c Glut_5,LD,5075
51,2659 TH Prkcd Grin2c Glut_6,LP,5056
52,2660 TH Prkcd Grin2c Glut_6,LP,5062
53,2661 TH Prkcd Grin2c Glut_6,Eth,5063
54,2662 TH Prkcd Grin2c Glut_6,Eth,5060
55,2663 TH Prkcd Grin2c Glut_6,PO,5071
56,2664 TH Prkcd Grin2c Glut_6,LP,5072
57,2665 TH Prkcd Grin2c Glut_7,LP,5035
58,2666 TH Prkcd Grin2c Glut_7,LP SGN,5029
59,2667 TH Prkcd Grin2c Glut_7,SGN,5034
60,2669 TH Prkcd Grin2c Glut_8,LP SGN,5030
61,2670 TH Prkcd Grin2c Glut_8,LP SGN,5031
62,2671 TH Prkcd Grin2c Glut_8,LP SGN,5032
63,2672 TH Prkcd Grin2c Glut_8,LP,5057
64,2674 TH Prkcd Grin2c Glut_9,AM,5041
65,2675 TH Prkcd Grin2c Glut_9,AM,5042
66,2676 TH Prkcd Grin2c Glut_9,AM,5043
67,2677 TH Prkcd Grin2c Glut_10,MD PT,5044
68,2678 TH Prkcd Grin2c Glut_10,MD,5050
69,2679 TH Prkcd Grin2c Glut_11,SPF,5059
70,2680 TH Prkcd Grin2c Glut_11,SPF,5061
71,2681 TH Prkcd Grin2c Glut_12,PVT IMD,5048
72,2682 TH Prkcd Grin2c Glut_12,PVT IMD,5049
73,2683 TH Prkcd Grin2c Glut_13,VAL,5065
74,2684 TH Prkcd Grin2c Glut_13,VM,5019
75,2685 TH Prkcd Grin2c Glut_13,SMT,5040
76,2686 TH Prkcd Grin2c Glut_13,VAL,5051
77,2687 TH Prkcd Grin2c Glut_13,VM,5058
78,2688 TH Prkcd Grin2c Glut_14,RH,5046
79,2689 TH Prkcd Grin2c Glut_14,RH,5047
80,2690 RE-Xi Nox4 Glut_1,Xi,5122
81,2691 RE-Xi Nox4 Glut_1,Xi,5123
82,2692 RE-Xi Nox4 Glut_1,Xi,5128
83,2693 RE-Xi Nox4 Glut_1,Xi,5124
84,2694 RE-Xi Nox4 Glut_2,PR,5064
85,2695 RE-Xi Nox4 Glut_2,VM,5052
86,2696 RE-Xi Nox4 Glut_2,PR,5053
87,2697 RE-Xi Nox4 Glut_2,RE,5055
88,2698 RE-Xi Nox4 Glut_3,RE,5054
89,2699 RE-Xi Nox4 Glut_3,RE,5125
90,2700 RE-Xi Nox4 Glut_3,RE,5129
91,2701 RE-Xi Nox4 Glut_3,RE,5126
92,2702 RE-Xi Nox4 Glut_3,RE,5127
93,2703 RE-Xi Nox4 Glut_4,Xi,5116
94,2704 MG-POL-SGN Nts Glut_1,MG,5025
95,2705 MG-POL-SGN Nts Glut_1,MG,5026
96,2706 MG-POL-SGN Nts Glut_1,MG,5027
97,2707 MG-POL-SGN Nts Glut_2,POL PIL,5141
98,2708 MG-POL-SGN Nts Glut_2,POL PIL,5148
99,2709 MG-POL-SGN Nts Glut_2,SGN,5024
100,2711 PF Fzd5 Glut_1,SPF,5117
101,5040 PARN-MDRNd-NTS Gbx2 Gly-Gaba_3,VPMpc,4436
102,5052 PARN-MDRNd-NTS Gbx2 Gly-Gaba_5,VPMpc,4405
